Institute Id,Institute Name,City,State,Score_21,Rank_21,TLR_21,RPC_21,GO_21,OI_21,Perception_21,Score_20,Rank_20,TLR_20,RPC_20,GO_20,OI_20,Perception_20,Score_19,Rank_19,TLR_19,RPC_19,GO_19,OI_19,Perception_19,Score_18,Rank_18,TLR_18,RPC_18,GO_18,OI_18,Perception_18
IR-A-U-0560,Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,82.65,1.0,82.49,88.84,90.67,74.01,63.55,79.75,2.0,81.32,85.34,87.15,70.9,56.3,78.33,2.0,75.4,89.24,82.48,65.01,73.18,74.24,2.0,71.11,77.53,79.42,65.2,72.46
IR-A-U-0263,National Institute of Technology Calicut,Kozhikode,Kerala,76.5,2.0,91.68,43.78,85.63,67.36,71.96,69.24,3.0,89.7,27.93,75.96,66.96,58.79,65.52,3.0,73.28,41.45,72.07,63.51,71.59,,,,,,,
IR-A-U-0573,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,76.14,3.0,68.94,85.19,88.69,67.83,70.01,80.46,1.0,78.58,79.73,91.8,71.71,75.54,81.96,1.0,73.85,89.49,86.98,75.54,95.66,78.41,1.0,69.71,82.84,89.09,69.81,78.51
IR-A-U-0116,"School of Planning and Architecture, New Delhi",New Delhi,Delhi,70.12,4.0,75.2,31.57,80.98,75.28,100.0,65.63,5.0,74.58,20.51,73.47,70.15,100.0,62.49,4.0,68.32,16.7,73.91,72.07,98.32,54.86,3.0,67.29,17.9,68.81,59.43,95.97
IR-A-U-0127,Centre for Environmental Planning and Technology University,Ahmedabad,Gujarat,66.77,5.0,71.22,56.72,81.66,59.58,46.52,66.68,4.0,70.14,43.18,82.53,59.98,74.72,,,,,,,,,,,,,,
IR-A-U-0626,School of Planning and Architecture Bhopal,Bhopal,Madhya Pradesh,65.58,6.0,72.29,36.87,83.11,76.81,49.89,63.87,7.0,79.91,22.57,74.12,73.51,52.25,58.72,6.0,72.46,24.41,61.47,67.35,58.26,53.1,5.0,77.27,19.87,62.37,62.27,52.62
IR-A-U-0467,National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,65.14,7.0,55.14,58.58,83.14,62.52,84.95,60.29,8.0,49.63,52.1,83.9,59.37,73.03,58.65,7.0,49.71,50.33,66.74,61.73,91.83,,,,,,,
IR-A-U-0627,School of Planning & Architecture,Vijayawada,Andhra Pradesh,64.27,8.0,79.85,8.38,82.65,71.24,70.01,59.63,9.0,74.2,5.2,82.32,68.21,56.3,57.07,9.0,62.11,9.96,84.74,59.74,73.18,,,,,,,
IR-A-U-0584,Indian Institute of Engineering Science and Technology,Shibpur,West Bengal,61.76,9.0,72.8,41.0,65.59,60.2,53.0,65.05,6.0,71.68,62.31,74.67,52.88,37.0,,,,,,,,,,,,,,
IR-A-U-0108,Jamia Millia Islamia,New Delhi,Delhi,57.23,10.0,65.08,4.88,88.43,72.26,53.0,56.29,10.0,66.06,0.67,87.09,78.6,44.47,58.07,8.0,59.91,24.89,84.16,74.65,48.17,49.09,8.0,52.07,23.62,75.95,65.73,46.17
IR-A-C-43708,College of Engineering Trivandrum,Thiruvananthapuram,Kerala,57.02,11.0,62.9,28.13,80.76,54.3,46.52,55.75,11.0,57.69,25.46,92.24,54.3,37.0,59.47,5.0,64.05,33.13,76.52,54.67,64.5,54.15,4.0,59.74,27.46,91.21,41.98,55.51
IR-A-U-0379,Lovely Professional University,Phagwara,Punjab,56.12,12.0,59.81,36.71,65.4,59.23,58.61,,,,,,,,,,,,,,,,,,,,,
IR-A-U-0496,Aligarh Muslim University,Aligarh,Uttar Pradesh,55.24,13.0,47.15,49.62,86.9,44.35,46.52,51.52,16.0,40.68,50.18,88.25,40.73,34.91,52.17,13.0,43.42,46.87,91.54,29.24,42.02,,,,,,,
IR-A-U-0202,Birla Institute of Technology,Ranchi,Jharkhand,55.21,14.0,60.22,42.07,60.51,59.6,46.52,52.45,13.0,51.76,40.71,60.95,60.59,53.64,56.62,10.0,62.34,36.86,60.55,55.74,66.39,,,,,,,
IR-A-C-57952,BMS College of Arhitecture,Bengaluru,Karnataka,54.99,15.0,68.59,2.59,85.0,57.43,42.86,52.18,14.0,63.4,0.01,77.67,57.88,54.99,50.61,15.0,64.93,0.01,56.03,58.06,76.21,,,,,,,
IR-A-U-0747,Chandigarh University,Mohali,Punjab,54.41,16.0,68.93,6.46,82.75,72.71,17.26,,,,,,,,,,,,,,,,,,,,,
IR-A-U-0334,Visvesvaraya National Institute of Technology,Nagpur,Maharashtra,53.93,17.0,58.81,38.93,61.06,69.69,34.41,,,,,,,,,,,,,,,,,,,,,
IR-A-C-46330,"Faculty of Architecture, Manipal Academy of Higher Education, Manipal",Udupi,Karnataka,53.78,18.0,63.81,0.37,79.39,70.07,53.0,53.11,12.0,61.52,0.0,79.85,70.35,54.99,,,,,,,,43.14,10.0,59.09,0.0,74.22,65.15,40.57
IR-A-C-26794,Thiagarajar College of Engineering,Madurai,Tamil Nadu,52.53,19.0,53.47,25.14,75.74,48.44,61.15,50.3,17.0,47.68,24.6,78.55,51.0,54.99,,,,,,,,,,,,,,
IR-A-U-0284,Maulana Azad National Institute of Technology,Bhopal,Madhya Pradesh,52.42,20.0,55.66,33.18,71.04,63.75,29.44,51.7,15.0,56.44,34.3,71.03,55.22,25.28,51.87,14.0,60.22,38.13,60.43,45.82,34.81,,,,,,,
IR-A-U-0373,Chitkara University,Rajpura,Punjab,51.81,21.0,66.92,5.71,79.37,70.81,9.52,,,,,,,,,,,,,,,,,,,,,
IR-A-U-0439,Anna University,Chennai,Tamil Nadu,51.25,22.0,45.99,34.89,60.33,51.72,86.32,48.73,18.0,46.6,25.5,58.1,52.83,80.87,53.29,12.0,50.03,27.53,62.87,51.95,100.0,50.83,6.0,55.25,24.97,57.82,52.05,100.0
IR-A-U-0189,National Institute of Technology Hamirpur,Hamirpur,Himachal Pradesh,50.11,23.0,46.72,44.65,62.91,56.22,42.86,48.59,19.0,44.44,51.07,59.84,58.42,27.9,,,,,,,,46.04,9.0,48.36,43.82,48.99,51.67,34.11
IR-A-U-0201,Shri Mata Vaishno Devi University,Katra,Jammu and Kashmir,50.1,24.0,67.12,0.83,74.57,57.86,23.79,,,,,,,,,,,,,,,,,,,,,
IR-A-U-0461,M. G. R. Educational and Research Institute,Chennai,Tamil Nadu,49.75,25.0,62.37,0.95,79.87,52.03,34.41,,,,,,,,,,,,,,,,,,,,,
IR-A-U-0454,Hindustan Institute of Technology  and Science (HITS),Chennai,Tamil Nadu,,,,,,,,48.5,20.0,53.75,19.68,80.14,47.84,22.48,,,,,,,,,,,,,,
IR-A-C-24004,College of Engineering Visakhapatnam,Visakhapatnam,Andhra Pradesh,,,,,,,,,,,,,,,55.7,11.0,74.84,10.63,76.52,52.7,30.68,,,,,,,
IR-3-A-OEA-C-17029,JNAFAU School of Planning and Architecture,Hyderabad,Telangana,,,,,,,,,,,,,,,,,,,,,,49.82,7.0,69.21,10.0,86.52,58.43,29.17
